        ID 	x, m	y, m	z, m	Delay, ns
1	-54.06	141.13	1.57	1029.43
2	-54.8	290.27	2.08	1544.23
3	94.03	136.39	1.66	978.83
4	-53.55	-7.78	0.46	702.14
5	95.82	282.63	3.03	1669.24
6	96.32	-8.7	0.75	719.63
7	-204.04	-8.99	0.32	1578.4
8	-204.12	140.7	1.48	1507.21
9	-205.65	291.52	2.33	2014.38
10	19.23	213.54	1.63	1088.71
12	168.48	216.75	1.74	1686.91
14	168.91	66.53	1.24	1052.47
16	19.56	65.28	1.8	349.26
18	243.85	291.69	2.32	2078.76
19	243.93	141.72	2.55	1582.86
20	243.98	-8.42	1.38	1744.39
21	169.09	-83.54	1.27	1224.38
22	18.97	-83.84	0.17	852.82
23	-130.97	-83.97	0.51	1344.28
24	-130.47	66.2	1.16	996.96
25	-130.82	216.03	1.44	1398.95
26	318.77	216.78	2.06	2452.86
27	318.87	66.78	1.97	1794.16
28	319.01	-83.33	1.09	2096.99
29	244.21	-158.39	0.44	1731.91
30	94.1	-158.69	0.01	1384.04
31	-55.88	-158.78	0.62	1379.53
32	-205.81	-159.11	0.82	1860.15
33	393.53	292.26	2.71	3023.07
34	393.93	141.89	1.07	2929.15
35	394	-8.29	1.74	2309.09
36	396.16	-158.18	1.86	2771.99
101	-280.68	216.68	2	3671.39
102	-281.1	66.66	1.17	4391.31
103	-281.32	-84.13	1.2	5822.9
104	-282	-233.68	2.32	6059.53
105	-354.43	291.71	2.17	3138.69
106	-356.13	141.83	1.48	3818.29
107	-356.44	-8.41	1.3	4985.43
108	-356.72	-158.67	2.34	5541.35
109	-356.96	-308.5	1.8	6380.53
110	-430.39	217.83	1.84	3490.24
111	-431.42	67	1.55	4274.47
112	-432.64	-84.22	1.95	5136.16
113	-432.13	-233.46	2.07	5735.26
114	-503.31	293.35	2.12	3762.58
115	-505.95	143.45	1.84	4098.15
116	-506.51	-8	2.4	4838.09
117	-506.72	-158.29	1.71	5652.99
118	-507	-308.45	1.05	6298.92
119	-581.13	216.49	3.08	4252.65
120	-581.19	66.58	2.31	4610.35
121	-581.22	-83.5	3.53	5349.72
122	-581.24	-233.41	1.17	6125.45
123	-656.18	291.58	3.38	4661.15
124	-656.18	141.64	2.2	4848.56
125	-656.27	-8.41	3.46	5225.54
126	-656.15	-158.5	3.09	5987.1
127	-656.22	-308.66	0.98	6765.22
201	394.19	-308.41	1.22	4701.03
202	394.21	-458.54	0.19	4411.4
203	394.17	-608.46	0.88	4702.96
205	318.86	-234.15	0.87	4852.21
206	319.19	-383.45	1.26	4061.91
207	319.28	-533.4	0.59	4070.92
208	319.17	-683.44	0.2	4607.7
210	243.61	-309.14	1.44	4230.89
211	244.22	-458.42	1.2	3535.21
212	244.17	-608.5	0.73	4234.76
214	168.72	-234.08	1.65	4716.88
215	169.3	-383.56	1.6	3645.91
216	169.24	-533.47	1.06	3579.66
217	169.2	-683.41	0.4	4347.76
218	93.7	-309.12	2.68	4265.68
219	94.2	-458.45	1.38	3662.95
222	23.14	-233.45	2.38	4882.03
223	19.24	-383.45	0.58	4193.84
224	19.29	-533.47	1.08	4209.89
226	-56.67	-309.05	2.47	4849.24
227	-55.79	-458.47	0.81	4487.11
228	-55.7	-608.45	0.79	4889.98
