    ID 	x, m	y, m	z, m
    1   -54.06   141.13     1.57
    2   -54.80   290.27     2.08
    3    94.03   136.39     1.66
    4   -53.55    -7.78     0.46
    5    95.82   282.63     3.03
    6    96.32    -8.70     0.75
    7  -204.04    -8.99     0.32
    8  -204.12   140.70     1.48
    9  -205.65   291.52     2.33
   10    19.23   213.54     1.63
   12   168.48   216.75     1.74
   14   168.91    66.53     1.24
   16    19.56    65.28     1.80
   18   243.85   291.69     2.32
   19   243.93   141.72     2.55
   20   243.98    -8.42     1.38
   21   169.09   -83.54     1.27
   22    18.97   -83.84     0.17
   23  -130.97   -83.97     0.51
   24  -130.47    66.20     1.16
   25  -130.82   216.03     1.44
   26   318.77   216.78     2.06
   27   318.87    66.78     1.97
   28   319.01   -83.33     1.09
   29   244.21  -158.39     0.44
   30    94.10  -158.69     0.01
   31   -55.88  -158.78     0.62
   32  -205.81  -159.11     0.82
   33   393.53   292.26     2.71
   34   393.93   141.89     1.07
   35   394.00    -8.29     1.74
   36   396.16  -158.18     1.86
  101  -280.68   216.68     2.00
  102  -281.10    66.66     1.17
  103  -281.32   -84.13     1.20
  104  -282.00  -233.68     2.32
  105  -354.43   291.71     2.17
  106  -356.13   141.83     1.48
  107  -356.44    -8.41     1.30
  108  -356.72  -158.67     2.34
  109  -356.96  -308.50     1.80
  110  -430.39   217.83     1.84
  111  -431.42    67.00     1.55
  112  -432.64   -84.22     1.95
  113  -432.13  -233.46     2.07
  114  -503.31   293.35     2.12
  115  -505.95   143.45     1.84
  116  -506.51    -8.00     2.40
  117  -506.72  -158.29     1.71
  118  -507.00  -308.45     1.05
  119  -581.13   216.49     3.08
  120  -581.19    66.58     2.31
  121  -581.22   -83.50     3.53
  122  -581.24  -233.41     1.17
  123  -656.18   291.58     3.38
  124  -656.18   141.64     2.20
  125  -656.27    -8.41     3.46
  126  -656.15  -158.50     3.09
  127  -656.22  -308.66     0.98
  201   394.19  -308.41     1.22
  202   394.21  -458.54     0.19
  203   394.17  -608.46     0.88
  204   394.73  -758.45     0.28
  205   318.86  -234.15     0.87
  206   319.19  -383.45     1.26
  207   319.28  -533.40     0.59
  208   319.17  -683.44     0.20
  209   319.14  -833.55     0.73
  210   243.61  -309.14     1.44
  211   244.22  -458.42     1.20
  212   244.17  -608.50     0.73
  213   244.25  -758.50     0.04
  214   168.72  -234.08     1.65
  215   169.30  -383.56     1.60
  216   169.24  -533.47     1.06
  217   169.20  -683.41     0.40
  218    93.70  -309.12     2.68
  219    94.20  -458.45     1.38
  220    94.01  -608.43     0.24
  221    94.23  -758.44     0.62
  222    23.14  -233.45     2.38
  223    19.24  -383.45     0.58
  224    19.29  -533.47     1.08
  225    19.29  -683.63     0.01
  226   -56.67  -309.05     2.47
  227   -55.79  -458.47     0.81
  228   -55.70  -608.45     0.79
