 St#   Length (nc)  Nlen
   1       904.88     15
   2      1419.68     15
   3       854.28     15
   4       577.59     16
   5      1544.69     15
   6       595.08     13
   7      1453.85     15
   8      1382.66     15
   9      1889.83     14
  10       964.16     14
  11            0      0
  12      1562.36     14
  13            0      0
  14       927.92     14
  15            0      0
  16       224.71     18
  17            0      0
  18      1954.21     18
  19      1458.31     14
  20      1619.84     18
  21      1099.83     17
  22       728.27     18
  23      1219.73     18
  24       872.41     18
  25      1274.40     14
  26      2328.31     14
  27      1669.61     14
  28      1972.44     17
  29      1607.36     14
  30      1259.49     13
  31      1254.98     14
  32      1735.60     14
  33      2898.52      7
  34      2804.60     14
  35      2184.54     10
  36      2647.44     14
 101       770.03     18
 102      1489.95     19
 103      2921.54     21
 104      3158.17     17
 105       237.33     18
 106       916.93     21
 107      2084.07     21
 108      2639.99     18
 109      3479.17     18
 110       588.88     18
 111      1373.11     18
 112      2234.80     18
 113      2833.90     21
 114       861.22     11
 115      1196.79     18
 116      1936.73     12
 117      2751.63     17
 118      3397.56     19
 119      1351.29      5
 120      1708.99     17
 121      2448.36     17
 122      3224.09     17
 123      1759.79      5
 124      1947.20     16
 125      2324.18     16
 126      3085.74     14
 127      3863.86     14
 201      1663.16      4
 202      1373.53      4
 203      1665.09      4
 204         0.00      0
 205      1814.34      4
 206      1024.04      4
 207      1033.05      4
 208      1569.83      3
 209         0.00      0
 210      1193.02      4
 211       497.34      4
 212      1196.89      4
 213         0.00      0
 214      1679.01      4
 215       608.04      4
 216       541.79      4
 217      1309.89      4
 218      1227.81      4
 219       625.08      4
 220         0.00      0
 221         0.00      0
 222      1844.16      4
 223      1155.97      4
 224      1172.02      4
 225         0.00      0
 226      1811.37      4
 227      1449.24      4
 228      1852.11      2
