stID	meanCH0	sigmaCH0	meanCH2	sigmaCH2
1	2042.65	0.879	2049.02	1.99	
2	2052.17	1.29	2053.27	1.46	
3	2044.58	1.86	2048.47	2	
4	2048.94	1.21	2050.68	0.794	
5	2047.02	1.17	2056.83	1.81	
6	2047.3	0.91	2050.41	0.869	
7	2050.87	1.65	2048.92	1.25	
8	2047.31	1.87	2042.2	1.4	
9	2050.95	0.879	2049.32	1.3	
10	2054.54	0.826	2050.69	1.08	
11	2050.31	0.804	2050.18	1.64	
12	2050.66	1.43	2050.82	1.1	
13	2050.25	1.2	2056.08	1.63	
14	2048.66	0.766	2053.39	0.723	
15	2049.11	0.86	2057.98	0.79	
16	2054.07	2.28	2047.26	2.7	
17	2053.8	1.99	2045.32	1.97	
18	2043.01	1.7	2048.91	1.71	
19	2050.14	1.24	2045.13	1.68	
