x, m	y, m	z, m
GR1-1	-1.36	-36.85	-0.23
GR1-2	4.40	-35.68	-1.78
GR2-1	178.86	94.65	-0.22
GR2-2	167.72	91.93	-1.81
GR3-1	6.21	234.92	0.03
GR3-2	15.83	241.29	-1.53
GR4-1	-164.26	169.61	1.10
GR4-2	-154.64	175.94	-0.35
GR5-1	-207.97	-108.60	-0.45
GR5-2	-216.83	-115.98	-1.77
GR6-1	-67.49	-236.83	-0.04
GR6-2	-79.08	-236.63	-1.48
GR7-1	170.34	-116.11	0.37
GR7-2	178.47	-108.14	-1.42
GR8_1	438.09	145.40	0.40
GR8_2	430.31	136.86	-1.14
GR9_1	270.12	287.70	-0.44
GR9_2	259.22	284.11	-2.14
GR10_1	66.60	416.57	-1.51
GR10_2	77.52	420.22	-2.54
GR11_1	-135.31	378.66	-0.50
GR11_2	-145.83	374.06	-2.37
GR12_1	-334.49	266.75	0.20
GR12_2	-344.99	262.09	-1.64
GR13_1	-386.86	81.92	-0.13
GR13_2	-398.21	80.04	-1.93
GR14_1	-420.81	-138.13	-0.46
GR14_2	-413.00	-135.07	-0.17
GR15_1	-278.68	-262.28	0.36
GR15_2	-289.74	-265.48	-1.47
GR16_1	-87.80	-391.87	1.32
GR16_2	-98.88	-397.47	-0.37
GR17_1	127.73	-363.27	0.68
GR17_2	116.45	-365.84	-1.03
GR18_1	311.17	-233.67	0.26
GR18_2	321.52	-228.53	-1.52
GR19_1	381.44	-47.42	0.31
GR19_2	392.06	-42.92	-1.43

GR1-1 -   1-ая станция GRANDE. Надземная группа сцинтилляторов.
GR1-2 -   1-ая станция GRANDE. Подземная группа сцинтилляторов.
